feature,importance_mean,importance_std
repo_push_events_before_day,0.06438811046643522,0.0021341877914092832
repo_actor_days_before_day,0.05789996135835327,0.0021251359896069426
actor_push_events_before_day,0.03678596416400144,0.002290529841743398
repo_issue_comment_share_before_day,0.03299958533535221,0.0008518580637355546
actor_pr_events_before_day,0.017057678022658163,0.0029947455628052196
repo_pr_share_before_day,0.016232977051636066,0.0016296705736834742
commits,0.0148626241737027,0.0006475442373774688
repo_events_before_day,0.013191717949576853,0.0012836124849096887
repo_pr_events_before_day,0.012460977641159787,0.002000453518186046
repo_issue_comments_before_day,0.010508319119574306,0.001582084834702993
actor_issue_comments_before_day,0.007879477374615718,0.0008996017634410467
actor_events_before_day,0.00755271441812877,0.0011685130099504356
changed_files,0.00702590003536292,0.00174270125745286
actor_pr_share_before_day,0.006876006354097908,0.0009208922646656498
actor_repo_days_before_day,0.003488658406161016,0.0004532005454648181
total_changed_lines,0.003355405618644158,0.0012592288068245699
additions,0.0026941854200440265,0.0005462144608717178
deletions,0.0019864408327976866,0.00044420934458932923
opened_weekday,0.0018124693264577774,0.0004570654778906235
opened_hour,0.0007671002154460371,0.00009869958537018663
opened_on_weekend,0.0,0.0
draft,0.0,0.0
log_additions,0.0,0.0
log_deletions,0.0,0.0
log_changed_files,0.0,0.0
log_commits,0.0,0.0
